ARTID,Y,S
20827,16.24,0.43
20827,16.24,0.54
20827,16.24,0.53
20827,16.24,0.68
20827,16.24,0.41
20827,16.24,0.67
20827,16.24,0.79
20827,16.24,0.43
20833,16.24,2.01
20833,16.24,1.29
20833,16.24,0.75
